Country,Year,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
"Afghanistan, Islamic Rep. of",1992,2120.071125,1208.44,100,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1993,2160.349425,1208.44,101.0724423,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1994,2200.62775,1208.44,102.1448933,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1995,2240.906,1208.44,103.2173317,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1996,2281.1843,1208.44,104.289774,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1997,2321.462625,1208.44,105.362225,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1998,2361.740925,1208.44,106.4346673,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",1999,2402.0192,1208.44,107.5071067,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2000,2442.297475,1208.44,108.5795456,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2001,2467.687975,1208.44,109.2260035,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2002,2493.078475,1208.44,109.8724621,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2003,2518.46895,1208.44,110.5189166,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2004,2543.859475,1208.44,111.1653757,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2005,2569.249975,1208.44,111.8118337,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2006,2594.640425,1208.44,112.4582878,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2007,2620.03095,1208.44,113.1047468,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2008,2645.421425,1208.44,113.7512013,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2009,2670.811925,1208.44,114.3976599,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2010,2696.202425,1208.44,115.0441179,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2011,2749.213225,1208.44,116.0218071,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2012,2802.224025,1208.44,116.9994964,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2013,2855.234825,1208.44,117.9771756,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2014,2908.245625,1208.44,118.9548648,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2015,2961.25645,1208.44,119.9325545,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2016,3016.3776,1208.44,120.744521,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2017,3061.3682,1208.44,121.5855074,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2018,3105.987825,1208.44,122.3071967,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2019,3149.9656,1208.44,123.0195713,100,65223,1.852781994
"Afghanistan, Islamic Rep. of",2020,3194.86485,1208.44,123.7458379,100,65223,1.852781994
Argentina,1992,3641.7913,34838.8,100,100,273669,12.73026905
Argentina,1993,3630.4948,34656.2,99.68980924,99.47587173,273669,12.66354611
Argentina,1994,3619.1983,34473.6,99.37961849,98.95174346,273669,12.59682317
Argentina,1995,3607.9018,34291,99.06942773,98.42761519,273669,12.53010023
Argentina,1996,3596.6053,34108.4,98.75923697,97.90348692,273669,12.46337729
Argentina,1997,3585.3087,33925.8,98.44904347,97.37935865,273669,12.39665435
Argentina,1998,3574.0122,33743.2,98.13885271,96.85523038,273669,12.32993141
Argentina,1999,3562.7157,33560.6,97.82866196,96.3311021,273669,12.26320847
Argentina,2000,3551.4192,33378,97.5184712,95.80697383,273669,12.19648554
Argentina,2001,3526.3652,33061.6,96.83051305,94.898791,273669,12.08087142
Argentina,2002,3501.3113,32745.2,96.14255765,93.99060817,273669,11.9652573
Argentina,2003,3476.2573,32428.8,95.4545995,93.08242534,273669,11.84964318
Argentina,2004,3451.2033,32112.4,94.76664135,92.17424251,273669,11.73402906
Argentina,2005,3426.1494,31796,94.07868595,91.26605968,273669,11.61841495
Argentina,2006,3401.0954,31479.6,93.3907278,90.35787685,273669,11.50280083
Argentina,2007,3376.0414,31163.2,92.70276965,89.44969402,273669,11.38718671
Argentina,2008,3350.9874,30846.8,92.0148115,88.54151119,273669,11.27157259
Argentina,2009,3325.9335,30530.4,91.3268561,87.63332836,273669,11.15595848
Argentina,2010,3300.8795,30214,90.63889795,86.72514553,273669,11.04034436
Argentina,2011,3283.8055,29990.6,90.17006274,86.08390645,273669,10.9587129
Argentina,2012,3266.7315,29767.2,89.70122753,85.44266737,273669,10.87708144
Argentina,2013,3249.6575,29543.8,89.23239231,84.80142829,273669,10.79544998
Argentina,2014,3232.5835,29320.4,88.7635571,84.16018921,273669,10.71381852
Argentina,2015,3215.5095,29097,88.29472189,83.51895014,273669,10.63218706
Argentina,2016,3209.6664,29010,88.13427612,83.26922856,273669,10.60039683
Argentina,2017,3201.7202,28899,87.9160813,82.95061828,273669,10.55983688
Argentina,2018,3194.3614,28791,87.7140159,82.64061908,273669,10.52037315
Argentina,2019,3186.7459,28681,87.50490178,82.32487916,273669,10.48017861
Argentina,2020,3179.032,28573,87.29308569,82.01487996,273669,10.44071488
Australia,1992,8425.8715,133468.58,100,100,768230,17.37351835
Australia,1993,8412.8155,133261.77,99.84504867,99.84504967,768230,17.34659802
Australia,1994,8399.7596,133054.96,99.69009853,99.69009935,768230,17.3196777
Australia,1995,8386.7037,132848.15,99.53514838,99.53514902,768230,17.29275738
Australia,1996,8373.6478,132641.34,99.38019824,99.3801987,768230,17.26583705
Australia,1997,8360.5919,132434.53,99.22524809,99.22524837,768230,17.23891673
Australia,1998,8347.536,132227.72,99.07029795,99.07029804,768230,17.21199641
Australia,1999,8334.48,132020.91,98.91534662,98.91534772,768230,17.18507608
Australia,2000,8321.4241,131814.1,98.76039648,98.76039739,768230,17.15815576
Australia,2001,8314.1017,131587.3,98.67349271,98.59046976,768230,17.12863335
Australia,2002,8306.7793,131360.5,98.58658894,98.42054212,768230,17.09911094
Australia,2003,8299.4569,131133.7,98.49968517,98.25061449,768230,17.06958853
Australia,2004,8292.1346,130906.9,98.41278258,98.08068686,768230,17.04006613
Australia,2005,8284.8122,130680.1,98.32587881,97.91075922,768230,17.01054372
Australia,2006,8277.4898,130453.3,98.23897504,97.74083159,768230,16.98102131
Australia,2007,8270.1674,130226.5,98.15207127,97.57090395,768230,16.9514989
Australia,2008,8262.845,129999.7,98.0651675,97.40097632,768230,16.92197649
Australia,2009,8255.5226,129772.9,97.97826373,97.23104869,768230,16.89245408
Australia,2010,8248.2002,129546.1,97.89135996,97.06112105,768230,16.86293167
