Year,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
1992,296948.8291,4220756.642,100.0,100.0,12990940.44,32.49000071
1993,296723.9289,4212918.252,99.92426298,99.81428946,12990565.84,32.4305985
1994,296499.029,4205079.862,99.84852606,99.62857891,12989361.14,32.37326159
1995,296274.129,4197241.472,99.7727891,99.44286838,12989059.14,32.31366819
1996,296049.2285,4189403.083,99.69705198,99.25715784,12989013.64,32.25343507
1997,295824.3288,4181564.692,99.62131513,99.07144729,12995947.64,32.17591211
1998,295599.4295,4173726.302,99.54557841,98.88573675,12993344.44,32.12203232
1999,295374.5288,4165887.912,99.46984122,98.70002621,12994023.24,32.06003125
2000,295149.629,4158049.522,99.39410433,98.51431567,12999925.49,31.98517965
2001,295000.1375,4152876.264,99.34376182,98.3917486,12999806.91,31.94567652
2002,294850.6476,4147703.007,99.29341984,98.26918152,12999588.13,31.9064186
2003,294701.1574,4142529.749,99.24307777,98.14661445,13000301.79,31.86487372
2004,294551.6671,4137356.491,99.19273566,98.02404738,13014956.86,31.78924475
2005,294402.1767,4132183.233,99.14239352,97.90148031,13015231.01,31.74882742
2006,294252.6864,4127009.975,99.09205141,97.77891324,13015009.79,31.70961868
2007,294103.1955,4121836.718,99.0417091,97.65634617,13014987.97,31.66992337
2008,293953.7052,4116663.46,98.99136699,97.5337791,13013402.01,31.63402971
2009,293804.2152,4111490.202,98.94102499,97.41121202,13013246.14,31.59465485
2010,293654.725,4106316.944,98.89068291,97.28864495,13013483.88,31.55432458
2011,293834.6057,4101823.291,98.95125924,97.18217936,13013448.42,31.51987974
2012,294014.594,4097333.397,99.01187181,97.07580285,13025851.79,31.45539702
2013,294194.5829,4092843.503,99.07248457,96.96942634,13025675.6,31.42135293
2014,294374.5721,4088353.61,99.13309744,96.86304983,13025613.71,31.3870325
2015,294554.5616,4083863.716,99.19371041,96.75667332,13025979.06,31.35168342
2016,294750.681,4080599.782,99.25975526,96.67934278,13026958.88,31.32427007
2017,294474.0169,4073753.425,99.16658631,96.5171359,13026230.26,31.27346394
2018,294450.3036,4068919.514,99.15860066,96.4026088,13026300.91,31.2361855
2019,294295.808,4063839.32,99.10657297,96.28224663,13026294.74,31.19720075
2020,294135.6234,4058927.05,99.05262947,96.165863,13026238.97,31.15962374
