Year,Drought,Extreme temperature,Flood,Landslide,Storm,TOTAL,Wildfire
1980,24.0,3.0,39.0,3.0,34.0,104.0,1.0
1981,18.0,1.0,38.0,7.0,46.0,112.0,2.0
1982,6.0,2.0,47.0,12.0,51.0,120.0,2.0
1983,26.0,2.0,48.0,16.0,55.0,157.0,10.0
1984,6.0,1.0,46.0,6.0,51.0,117.0,7.0
1985,3.0,7.0,56.0,4.0,49.0,130.0,11.0
1986,4.0,2.0,48.0,9.0,53.0,121.0,5.0
1987,15.0,5.0,65.0,14.0,55.0,161.0,7.0
1988,17.0,5.0,74.0,15.0,60.0,171.0,0.0
1989,7.0,5.0,44.0,15.0,67.0,140.0,2.0
1990,19.0,13.0,59.0,5.0,132.0,232.0,4.0
1991,12.0,8.0,75.0,9.0,66.0,178.0,8.0
1992,11.0,7.0,57.0,8.0,76.0,167.0,8.0
1993,9.0,3.0,84.0,25.0,105.0,228.0,2.0
1994,11.0,9.0,88.0,11.0,80.0,212.0,13.0
1995,6.0,13.0,93.0,16.0,76.0,211.0,7.0
1996,7.0,5.0,91.0,24.0,74.0,205.0,4.0
1997,17.0,13.0,95.0,13.0,79.0,232.0,15.0
1998,20.0,12.0,94.0,22.0,86.0,252.0,18.0
1999,26.0,8.0,122.0,18.0,103.0,298.0,21.0
2000,25.0,30.0,157.0,27.0,101.0,370.0,30.0
2001,22.0,23.0,155.0,24.0,105.0,343.0,14.0
2002,24.0,15.0,171.0,20.0,122.0,374.0,22.0
2003,14.0,25.0,157.0,21.0,85.0,316.0,14.0
2004,11.0,16.0,127.0,15.0,121.0,298.0,8.0
2005,20.0,40.0,191.0,13.0,130.0,407.0,13.0
2006,9.0,14.0,226.0,20.0,76.0,354.0,9.0
2007,11.0,25.0,217.0,10.0,100.0,381.0,18.0
2008,16.0,16.0,165.0,12.0,112.0,326.0,5.0
2009,18.0,20.0,151.0,29.0,87.0,314.0,9.0
2010,21.0,28.0,184.0,32.0,94.0,366.0,7.0
2011,16.0,15.0,156.0,17.0,81.0,293.0,8.0
2012,18.0,52.0,136.0,13.0,90.0,315.0,6.0
2013,9.0,13.0,148.0,11.0,105.0,296.0,10.0
2014,20.0,17.0,136.0,15.0,98.0,290.0,4.0
2015,27.0,12.0,161.0,20.0,121.0,354.0,13.0
2016,14.0,12.0,159.0,13.0,86.0,294.0,10.0
2017,12.0,10.0,127.0,25.0,126.0,315.0,15.0
2018,17.0,27.0,127.0,12.0,94.0,287.0,10.0
2019,15.0,21.0,195.0,25.0,91.0,361.0,14.0
2020,12.0,5.0,201.0,19.0,127.0,373.0,9.0
2021,16.0,3.0,222.0,12.0,119.0,391.0,19.0
2022,22.0,12.0,176.0,17.0,105.0,347.0,15.0
