Country,Drought,Extreme temperature,Flood,Landslide,Storm,TOTAL,Wildfire
United States,18.0,26.0,183.0,4.0,590.0,912.0,91.0
"China, P.R.: Mainland",36.0,14.0,295.0,74.0,311.0,738.0,8.0
India,9.0,52.0,265.0,46.0,147.0,523.0,4.0
Philippines,9.0,,144.0,30.0,294.0,478.0,1.0
Indonesia,7.0,,245.0,62.0,9.0,334.0,11.0
Bangladesh,3.0,24.0,84.0,6.0,132.0,249.0,
Vietnam,7.0,,98.0,6.0,124.0,236.0,1.0
Mexico,6.0,15.0,68.0,10.0,109.0,212.0,4.0
Japan,,17.0,36.0,16.0,129.0,199.0,1.0
Brazil,17.0,5.0,139.0,19.0,15.0,199.0,4.0
Australia,6.0,7.0,61.0,2.0,78.0,186.0,32.0
France,5.0,22.0,57.0,7.0,73.0,176.0,12.0
Pakistan,2.0,16.0,98.0,22.0,27.0,166.0,1.0
Russian Federation,5.0,21.0,70.0,10.0,22.0,152.0,24.0
Thailand,12.0,2.0,92.0,3.0,42.0,152.0,1.0
Colombia,2.0,,97.0,38.0,11.0,152.0,4.0
"Afghanistan, Islamic Rep. of",6.0,7.0,97.0,27.0,9.0,147.0,1.0
Peru,6.0,12.0,63.0,29.0,3.0,115.0,2.0
Canada,2.0,6.0,42.0,,39.0,112.0,23.0
Haiti,6.0,,60.0,1.0,39.0,106.0,
"Iran, Islamic Rep. of",2.0,,85.0,4.0,13.0,105.0,1.0
Italy,5.0,11.0,43.0,11.0,24.0,102.0,8.0
Sri Lanka,10.0,,76.0,4.0,11.0,101.0,
South Africa,11.0,3.0,45.0,1.0,31.0,101.0,10.0
Argentina,4.0,7.0,59.0,4.0,19.0,100.0,7.0
"Korea, Rep. of",1.0,4.0,27.0,6.0,51.0,94.0,5.0
Nepal,2.0,7.0,52.0,22.0,7.0,93.0,3.0
United Kingdom,1.0,13.0,34.0,,43.0,91.0,
Spain,4.0,10.0,31.0,1.0,25.0,89.0,18.0
Malaysia,2.0,,66.0,5.0,7.0,84.0,4.0
Germany,,14.0,18.0,1.0,50.0,83.0,
Romania,2.0,19.0,50.0,1.0,10.0,82.0,
Bolivia,12.0,5.0,47.0,9.0,2.0,81.0,6.0
"Mozambique, Rep. of",14.0,,37.0,2.0,27.0,81.0,1.0
Taiwan Province of China,,1.0,7.0,1.0,71.0,80.0,
Guatemala,7.0,4.0,35.0,11.0,20.0,79.0,2.0
"Madagascar, Rep. of",10.0,,11.0,,58.0,79.0,
"Türkiye, Rep. of",,7.0,45.0,12.0,9.0,79.0,6.0
"Ethiopia, The Federal Dem. Rep. of",15.0,,55.0,7.0,,78.0,1.0
Kenya,14.0,,54.0,5.0,1.0,74.0,
Cuba,7.0,,24.0,,39.0,72.0,2.0
Chile,1.0,8.0,33.0,3.0,11.0,71.0,15.0
Honduras,10.0,,36.0,,21.0,69.0,2.0
Nigeria,2.0,2.0,56.0,3.0,6.0,69.0,
Dominican Rep.,,,30.0,,36.0,68.0,2.0
"Tanzania, United Rep. of",9.0,,48.0,1.0,7.0,66.0,1.0
Somalia,14.0,,45.0,,7.0,66.0,
"Poland, Rep. of",1.0,19.0,15.0,,23.0,60.0,2.0
Uganda,8.0,,36.0,10.0,5.0,59.0,
Greece,1.0,8.0,26.0,,7.0,58.0,16.0
Algeria,1.0,3.0,44.0,1.0,4.0,57.0,4.0
"Congo, Dem. Rep. of the",2.0,,39.0,7.0,5.0,56.0,3.0
Malawi,9.0,,40.0,1.0,6.0,56.0,
Angola,9.0,,45.0,1.0,,55.0,
Sudan,10.0,1.0,40.0,,3.0,55.0,1.0
New Zealand,2.0,1.0,36.0,,14.0,55.0,2.0
Nicaragua,6.0,,19.0,1.0,25.0,54.0,3.0
Belgium,,13.0,14.0,,27.0,54.0,
"Tajikistan, Rep. of",2.0,3.0,32.0,14.0,2.0,53.0,
Switzerland,,6.0,8.0,6.0,33.0,53.0,
"Venezuela, Rep. Bolivariana de",1.0,,41.0,5.0,5.0,52.0,
