Year,Climate Altering Land Cover Index Climate altering,Total Land Cover Climate altering,Total Land Cover Climate neutral,Total Land Cover Climate regulating
1992,96.53647822,1808245.202,2729687.536,8445619.87
1993,96.79988209,1832532.15,2743915.486,8545685.689
1994,96.6054527,1828851.182,2743966.907,8549313.812
1995,97.13550738,1838885.767,2743684.204,8539562.264
1996,97.28952566,1841801.526,2744037.955,8536292.879
1997,97.52710112,1846298.867,2742811.552,8533020.285
1998,97.81829248,1851811.272,2742078.521,8528239.649
1999,98.5046355,1864804.484,2737876.459,8519448.217
2000,99.01222621,1874888.924,2731933.979,8518632.772
2001,99.1753829,1877978.782,2730319.882,8517159.347
2002,99.33661711,1881031.241,2728206.14,8516216.009
2003,99.47855973,1883719.919,2727321.376,8514418.107
2004,99.86269957,1890993.319,2720141.143,8514320.439
2005,99.7587211,1889024.781,2718873.495,8517559.341
2006,99.81648359,1891591.437,2717868.631,8526225.524
2007,99.78207402,1890939.656,2715598.286,8529149.759
2008,99.86576997,1892525.401,2714067.538,8529092.324
2009,99.87791414,1892756.391,2712255.464,8530679.306
2010,99.87212716,1892646.164,2711022.186,8532018.929
2011,99.89465559,1893072.634,2709973.126,8532638.328
2012,99.85695315,1928201.609,2813778.008,8642509.589
2013,99.9179153,1929378.273,2813003.939,8642103.578
2014,99.95472786,1930089.402,2810733.464,8643664.945
2015,100.0,1930963.717,2811057.56,8642467.413
2016,99.90634069,1929145.08,2810282.206,8644991.264
2017,100.0186438,1931313.228,2809064.584,8644038.157
2018,100.1073089,1933025.656,2801821.167,8649571.541
2019,100.1200864,1933275.267,2799621.417,8651541.637
2020,100.168538,1934306.881,2797060.922,8653735.065
