Year,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
1992,-21.36,-6.49,-5.16,-12.86,212.45,7.47,-18.1,-8.03,-8.85,-18.83,0.3600000000000001,13.020000000000001,-6.029999999999999,-0.38,5.64,53.66,-21.03,123.38,-34.85,-21.240000000000002,-10.25,-20.58,-20.990000000000002,-16.799999999999997,-57.51
1993,-47.66882352941177,-7.192941176470589,-0.2452941176470586,-16.865882352941178,-36.21470588235294,-4.777058823529412,-5.9941176470588236,-10.647647058823528,-4.344117647058823,-15.738823529411764,-72.44588235294117,-26.17411764705882,-11.203529411764706,-16.39764705882353,-12.054117647058824,-16.00764705882353,-15.385882352941177,-23.88470588235294,-35.68529411764706,-18.75764705882353,-35.96470588235294,-19.206470588235295,-15.945882352941176,-16.72941176470588,-31.583529411764705
1994,-23.842352941176472,-41.48705882352941,-2.5923529411764705,-15.09529411764706,-17.047058823529415,-16.74764705882353,-10.788235294117646,6.167058823529412,-18.36764705882353,-13.024117647058823,-68.13117647058823,-17.406470588235294,-8.274117647058823,-14.653529411764707,-1.7423529411764709,-23.572352941176472,-10.491764705882352,-4.028823529411765,-11.029411764705882,-22.345882352941175,-33.62647058823529,-14.909411764705883,-13.58705882352941,-13.126470588235295,-9.089411764705883
1995,-19.478749999999998,4.444375,2.5650000000000004,-8.558387096774194,23.325000000000003,2.1325,16.633870967741935,-4.201874999999999,-4.70625,-9.904193548387097,-25.165,-11.13,-9.676874999999999,-1.9848387096774185,-12.163124999999999,2.6693749999999996,-10.351875,-5.8043749999999985,-22.165625000000002,3.3975,-20.390625,-12.170625,-8.930625,-9.61875,-31.377741935483872
1996,2.120303030303031,19.26909090909091,-5.005454545454544,-7.539411764705883,-107.17727272727272,5.818484848484848,38.358823529411765,-17.504242424242424,-31.2530303030303,-10.788823529411765,25.98272727272727,15.538181818181817,-3.457272727272727,-8.206470588235295,-8.876666666666667,-31.450606060606056,-5.019393939393939,8.63,-24.277272727272727,12.797878787878787,-11.381818181818183,-11.387575757575757,-3.8248484848484847,-6.256060606060606,-15.071764705882355
1997,7.714242424242425,-75.76424242424241,10.106666666666666,-7.300909090909091,5.36818181818182,-20.993636363636362,54.50757575757576,-3.2103030303030304,-12.183333333333334,-10.35121212121212,-69.07484848484847,9.429090909090908,27.685151515151517,-6.745151515151515,-5.531212121212121,9.094848484848484,-0.3042424242424242,12.887575757575759,-5.746969696969697,22.476666666666667,-14.83939393939394,-7.76030303030303,-3.6218181818181816,-4.489393939393939,-4.9827272727272724
1998,7.617272727272727,-7.667272727272729,5.87939393939394,-1.219090909090909,31.698484848484853,-9.466363636363637,12.165151515151514,-1.4224242424242424,-6.325757575757576,0.5972727272727275,5.243333333333334,0.6593939393939388,-27.151212121212122,3.070000000000001,-11.613030303030301,5.967575757575756,-10.08909090909091,16.666363636363638,4.525757575757575,4.085757575757576,-10.42121212121212,-6.472424242424243,-4.297575757575757,-4.95,13.556666666666667
1999,6.529393939393939,11.914545454545454,-27.850909090909088,-1.782727272727273,-3.534848484848486,-4.463333333333334,-22.08030303030303,-8.125454545454545,16.613636363636363,-4.805757575757576,61.79787878787879,1.7230303030303027,-21.748181818181816,14.715454545454547,6.75969696969697,-3.035454545454545,-5.595151515151516,2.4057575757575775,27.222727272727273,-4.162727272727273,23.796969696969697,0.3609090909090908,-7.594545454545455,-3.274242424242424,13.283939393939391
2000,14.704705882352942,25.53058823529412,-22.786470588235293,-1.9864705882352942,28.517647058823535,8.861176470588235,-32.497058823529414,-22.39470588235294,9.979411764705883,-5.382941176470588,73.81294117647059,0.17000000000000004,-7.571176470588235,15.275882352941176,3.537058823529412,-10.463529411764707,-0.6299999999999999,-20.075882352941175,7.102941176470588,3.486470588235295,23.564705882352943,2.8523529411764708,-4.5723529411764705,-1.0235294117647058,9.784117647058824
2001,24.047142857142855,28.06,-24.040555555555553,1.8014285714285714,0.652777777777775,0.16999999999999982,-42.952777777777776,8.585714285714285,-1.0555555555555558,3.17,47.529444444444444,0.35611111111111066,-3.738333333333333,-0.8814285714285719,5.265000000000001,6.265555555555555,4.731111111111111,-16.72277777777778,7.180555555555555,-4.123333333333333,30.305555555555557,9.02,2.2016666666666667,3.988888888888889,24.481428571428573
