Year,Country,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating
1992,"Afghanistan, Islamic Rep. of",25.3207,98.59211187,24035.385,5763.3488,261.2284,0,317.574,3350.5526,5.8206,4275.2553,24963.0009,1263.7031,87.4339
1993,"Afghanistan, Islamic Rep. of",25.7741,98.69931926,24035.4149,5769.1948,261.2284,0,317.574,3350.5468,5.8206,4275.2243,24963.0009,1263.788,81.1109
1994,"Afghanistan, Islamic Rep. of",26.1577,98.67676926,24035.4401,5767.4886,261.2284,0,317.574,3350.5359,5.8206,4275.2243,24963.0009,1263.862,82.3606
1995,"Afghanistan, Islamic Rep. of",26.6867,98.88136151,24045.9587,5778.9638,228.3898,0,317.574,3312.1205,5.8438,4227.8536,25088.5751,1241.1249,75.5124
1996,"Afghanistan, Islamic Rep. of",27.2273,99.05861232,24044.9846,5788.8312,207.9674,0,317.574,3306.6573,5.9213,4220.793,25108.3556,1240.8172,79.4857
1997,"Afghanistan, Islamic Rep. of",27.9248,99.17148342,24053.619,5794.7645,189.5678,0,317.574,3291.027,6.0066,4217.003,25131.6873,1240.3084,79.1738
1998,"Afghanistan, Islamic Rep. of",28.9886,99.35358094,24056.196,5804.3888,185.4756,0,317.574,3286.1783,6.0608,4202.0137,25139.2102,1240.2216,82.3105
1999,"Afghanistan, Islamic Rep. of",29.721,99.89566347,24193.0273,5835.4893,156.2255,0,317.574,3254.1849,6.0686,4192.6434,25045.9935,1241.4993,76.251
2000,"Afghanistan, Islamic Rep. of",30.7847,100.0859101,24253.1341,5845.5927,150.2344,0,317.574,3210.8115,6.0763,4064.552,25188.5125,1228.1143,53.2593
2001,"Afghanistan, Islamic Rep. of",33.1215,99.48283128,24308.3116,5807.8544,108.5681,0,317.574,3163.3889,6.5026,4034.3563,25318.6058,1197.5272,52.9155
2002,"Afghanistan, Islamic Rep. of",36.2895,99.29764992,24390.1533,5793.8027,87.9132,0,317.574,3149.2463,6.9831,4037.1774,25287.7576,1185.1118,56.5948
2003,"Afghanistan, Islamic Rep. of",38.1438,98.3720776,24463.6698,5737.6092,80.6898,0,317.574,3137.0386,6.9909,4027.1639,25264.3621,1173.5311,101.8773
2004,"Afghanistan, Islamic Rep. of",39.0912,99.00987818,24589.0637,5774.105,68.6688,0,317.574,3129.1103,7.0606,4069.3107,25117.7296,1166.7084,70.1817
2005,"Afghanistan, Islamic Rep. of",40.7363,99.45687308,24620.2911,5798.7085,68.7618,0,317.574,3127.0797,7.0606,4063.6374,25061.6451,1165.1447,78.0095
2006,"Afghanistan, Islamic Rep. of",42.3813,99.30580197,24634.4792,5788.1942,68.9324,0,317.574,3123.4498,7.0606,4063.7614,25054.4621,1162.2131,86.1471
2007,"Afghanistan, Islamic Rep. of",43.9275,99.48863846,24718.644,5797.3866,68.9324,0,317.574,3121.7858,7.0606,4064.0094,24962.2039,1160.8874,86.2839
2008,"Afghanistan, Islamic Rep. of",45.34,99.70591395,24755.8129,5808.7238,63.4683,0,317.574,3121.5281,7.0606,4064.0249,24917.9679,1160.6623,86.4527
2009,"Afghanistan, Islamic Rep. of",46.4328,99.97613062,24772.9812,5823.5028,63.6543,0,317.574,3123.685,7.0606,4067.2879,24876.0912,1162.9858,87.431
